register,air,water_5s,water_15s,water_30s,water_60s,delta_air_to_60s,range,trend,change_marker
0,249,236,224,217,210,-39,39,DOWN,**
1,44,219,227,231,234,190,190,UP,***
2,2,10,10,11,11,9,9,UP,*
3,226,45,44,43,42,-184,184,DOWN,***
4,22,109,113,115,116,94,94,UP,***
5,0,0,0,0,0,0,0,STATIC,
6,4,4,4,4,4,0,0,STATIC,
7,261,261,261,261,261,0,0,STATIC,
8,5,5,5,5,5,0,0,STATIC,
9,9600,9600,9600,9600,9600,0,0,STATIC,
10,0,0,0,0,0,0,0,STATIC,
11,0,0,0,0,0,0,0,STATIC,
12,531,531,531,531,531,0,0,STATIC,
13,0,0,0,0,0,0,0,STATIC,
14,2,2,2,2,2,0,0,STATIC,
15,531,531,531,531,531,0,0,STATIC,
16,20,20,20,20,20,0,0,STATIC,
17,500,500,500,500,500,0,0,STATIC,
18,25,25,25,25,25,0,0,STATIC,
19,0,0,0,0,0,0,0,STATIC,
20,2,2,2,2,2,0,0,STATIC,
