register,air,water_5s,water_15s,water_30s,water_60s,delta_air_to_60s,range,trend,change_marker
0,237,238,244,249,253,16,16,UP,**
1,33,1502,1488,1481,1464,1431,1469,FLUCTUATING,***
2,2,75,74,74,73,71,73,FLUCTUATING,***
3,302,6,6,6,6,-296,296,DOWN,***
4,16,750,744,740,732,716,734,FLUCTUATING,***
5,0,0,0,0,0,0,0,STATIC,
6,4,4,4,4,4,0,0,STATIC,
7,261,261,261,261,261,0,0,STATIC,
8,5,5,5,5,5,0,0,STATIC,
9,9600,9600,9600,9600,9600,0,0,STATIC,
10,0,0,0,0,0,0,0,STATIC,
11,0,0,0,0,0,0,0,STATIC,
12,531,531,531,531,531,0,0,STATIC,
13,0,0,0,0,0,0,0,STATIC,
14,2,2,2,2,2,0,0,STATIC,
15,531,531,531,531,531,0,0,STATIC,
16,20,20,20,20,20,0,0,STATIC,
17,500,500,500,500,500,0,0,STATIC,
18,25,25,25,25,25,0,0,STATIC,
19,0,0,0,0,0,0,0,STATIC,
20,2,2,2,2,2,0,0,STATIC,
